pdbid,anchor_class,anchor_dist,anchor1,anchor2
3FQW,7,18.910694249550968,182,189
3MR9,7,18.708987278845427,182,189
3LV3,7,18.838587977871377,182,189
2AV1-AC,7,18.183426574768575,182,189
2AV1-DF,7,18.070903574531076,182,189
3GSR,7,18.622034851218594,182,189
4E5X-AC,7,18.219202699349935,182,189
4E5X-DF,7,18.630134245356366,182,189
7MJ6,7,18.244005974566,182,189
7UC5-AC,7,18.49975875518381,182,189
7UC5-DF,7,18.624143309156533,182,189
3KPL,7,19.06834932551845,182,189
7L1C,7,18.681554137704925,182,189
5EU3,7,18.380076985692963,182,189
7LGT-AF,7,18.088787024010205,182,189
7LGT-CE,7,17.85330003108669,182,189
9CWY,7,18.88337864366438,182,189
9J4V-AE,7,18.217044491354795,182,189
9J4V-CF,7,18.121620540117267,182,189
4O2E-AC,7,18.059720734274933,182,189
4O2E-DF,7,18.04803152701147,182,189
22EE,7,18.038283538075344,182,189
7SU9,7,18.75959887630863,182,189
3UPR-AP,7,18.765217984345398,182,189
3UPR-CQ,7,18.789805666903526,182,189
1T1Y,7,18.558317407566882,182,189
3H9H-AC,7,18.293762024252967,182,189
3H9H-DF,7,18.402826657880578,182,189
3HPJ-AC,7,18.42176723335739,182,189
3HPJ-DF,7,18.48353153485556,182,189
3KPN,7,19.07414325729992,182,189
3LKN,7,18.264331413988305,182,189
3LKR,7,18.21325124737481,182,189
3RL1,7,18.331213707771777,182,189
3X14,7,18.47905457538345,182,189
4K7F-AC,7,18.225276376505242,182,189
4K7F-DF,7,18.3963868463348,182,189
4NQX-AM,7,19.148914225093804,182,189
4NQX-CN,7,19.2976708698226,182,189
4NQX-EO,7,19.194816253353405,182,189
4NQX-GP,7,19.190929367802912,182,189
4NQX-IQ,7,19.249176346015425,182,189
4NQX-KR,7,19.138163391506506,182,189
5SWQ,7,18.510506908239982,182,189
5U98-AC,7,18.833358410012806,182,189
5U98-DF,7,18.85053126572299,182,189
5VUD,7,18.830587935590327,182,189
5VVP,7,19.007194979796466,182,189
5VWJ,7,18.701546754212604,182,189
5WSH,7,18.189987410660844,182,189
6J1V,7,18.718217383073632,182,189
6VB3,7,17.94615176019639,182,189
7NUI,7,17.972724723869778,182,189
7P3E-AC,7,18.120564174440045,182,189
7P3E-DF,7,18.105176635426677,182,189
6ULN,7,18.705327529877685,182,189
6Z9V-AC,7,18.65698212466314,182,189
6Z9V-DF,7,18.447209599286285,182,189
5HHN,7,18.424638802429747,182,189
7L1B,7,19.00629043238054,182,189
7S7E,7,18.42337498939866,182,189
2AV7-AC,7,18.14781325669845,182,189
2AV7-DF,7,18.087468286081386,182,189
7P49-AP,7,18.125189847281597,182,189
7P49-CQ,7,18.044765335132514,182,189
7P49-ER,7,18.033009981697457,182,189
7P49-GZ,7,18.075010179803495,182,189
9EK4-AC,7,18.26170487659901,182,189
9EK4-DF,7,18.302143071236223,182,189
4U1L-AC,7,18.49173147652756,182,189
4U1L-DF,7,18.584556195938607,182,189
7N1A-AC,7,18.0309348066039,182,189
8ERX,7,18.481711960746495,182,189
6UZP,7,17.979555723098386,182,189
4U1K-AC,7,18.410241606236458,182,189
4U1K-DF,7,18.472973934913675,182,189
7R7X-AE,7,18.91644668007182,182,189
7R7X-CF,7,19.10322532977088,182,189
1HSA-AC,7,18.99823423373867,182,189
1HSA-DF,7,18.9967753842593,182,189
1JGE,7,18.75024325175543,182,189
2BST,7,18.709365301901613,182,189
2X4U-AC,7,18.534669136512797,182,189
2X4U-DF,7,18.31969339263079,182,189
3GSX,7,18.52204505447495,182,189
3IXA-AC,7,18.31356256985516,182,189
3IXA-DF,7,18.288906664970437,182,189
3L3G,7,18.923930088647015,182,189
3MRI,7,19.04011008371538,182,189
